Age,Male,Female,NHWM,NHBM,NHWF,NHBF,HM,HF,Male_SE,Female_SE,NHWM_SE,NHBM_SE,NHWF_SE,NHBF_SE,HM_SE,HF_SE
20,0.00000700,0.00000200,0.00000600,0.00001100,0.00000200,0.00000500,0.00000400,0.00000200,0.00000000,0.00000000,0.00000000,0.00000100,0.00000000,0.00000100,0.00000100,0.00000000
21,0.00000700,0.00000200,0.00000600,0.00001100,0.00000200,0.00000500,0.00000400,0.00000200,0.00000000,0.00000000,0.00000000,0.00000100,0.00000000,0.00000100,0.00000100,0.00000000
22,0.00000700,0.00000200,0.00000600,0.00001100,0.00000200,0.00000500,0.00000400,0.00000200,0.00000000,0.00000000,0.00000000,0.00000100,0.00000000,0.00000100,0.00000100,0.00000000
23,0.00000700,0.00000200,0.00000600,0.00001100,0.00000200,0.00000500,0.00000400,0.00000200,0.00000000,0.00000000,0.00000000,0.00000100,0.00000000,0.00000100,0.00000100,0.00000000
24,0.00000700,0.00000200,0.00000600,0.00001100,0.00000200,0.00000500,0.00000400,0.00000200,0.00000000,0.00000000,0.00000000,0.00000100,0.00000000,0.00000100,0.00000100,0.00000000
25,0.00001800,0.00000700,0.00001800,0.00003200,0.00000600,0.00001500,0.00001200,0.00000300,0.00000100,0.00000000,0.00000100,0.00000200,0.00000000,0.00000100,0.00000100,0.00000000
26,0.00001800,0.00000700,0.00001800,0.00003200,0.00000600,0.00001500,0.00001200,0.00000300,0.00000100,0.00000000,0.00000100,0.00000200,0.00000000,0.00000100,0.00000100,0.00000000
27,0.00001800,0.00000700,0.00001800,0.00003200,0.00000600,0.00001500,0.00001200,0.00000300,0.00000100,0.00000000,0.00000100,0.00000200,0.00000000,0.00000100,0.00000100,0.00000000
28,0.00001800,0.00000700,0.00001800,0.00003200,0.00000600,0.00001500,0.00001200,0.00000300,0.00000100,0.00000000,0.00000100,0.00000200,0.00000000,0.00000100,0.00000100,0.00000000
29,0.00001800,0.00000700,0.00001800,0.00003200,0.00000600,0.00001500,0.00001200,0.00000300,0.00000100,0.00000000,0.00000100,0.00000200,0.00000000,0.00000100,0.00000100,0.00000000
