Age,Male,Female,NHWM,NHBM,NHWF,NHBF,HM,HF,Male_SE,Female_SE,NHWM_SE,NHBM_SE,NHWF_SE,NHBF_SE,HM_SE,HF_SE
20,0.001251,0.000445,0.001215,0.001926,0.000468,0.000574,0.001007,0.000323,0.000005,0.000003,0.000006,0.000015,0.000004,0.000008,0.000009,0.000005
21,0.001251,0.000445,0.001215,0.001926,0.000468,0.000574,0.001007,0.000323,0.000005,0.000003,0.000006,0.000015,0.000004,0.000008,0.000009,0.000005
22,0.001251,0.000445,0.001215,0.001926,0.000468,0.000574,0.001007,0.000323,0.000005,0.000003,0.000006,0.000015,0.000004,0.000008,0.000009,0.000005
23,0.001251,0.000445,0.001215,0.001926,0.000468,0.000574,0.001007,0.000323,0.000005,0.000003,0.000006,0.000015,0.000004,0.000008,0.000009,0.000005
24,0.001251,0.000445,0.001215,0.001926,0.000468,0.000574,0.001007,0.000323,0.000005,0.000003,0.000006,0.000015,0.000004,0.000008,0.000009,0.000005
25,0.001422,0.000574,0.001469,0.002165,0.000628,0.000765,0.001029,0.000368,0.000005,0.000003,0.000007,0.000017,0.000005,0.000010,0.000009,0.000006
26,0.001422,0.000574,0.001469,0.002165,0.000628,0.000765,0.001029,0.000368,0.000005,0.000003,0.000007,0.000017,0.000005,0.000010,0.000009,0.000006
27,0.001422,0.000574,0.001469,0.002165,0.000628,0.000765,0.001029,0.000368,0.000005,0.000003,0.000007,0.000017,0.000005,0.000010,0.000009,0.000006
28,0.001422,0.000574,0.001469,0.002165,0.000628,0.000765,0.001029,0.000368,0.000005,0.000003,0.000007,0.000017,0.000005,0.000010,0.000009,0.000006
29,0.001422,0.000574,0.001469,0.002165,0.000628,0.000765,0.001029,0.000368,0.000005,0.000003,0.000007,0.000017,0.000005,0.000010,0.000009,0.000006
30,0.001549,0.000750,0.001649,0.002360,0.000827,0.001049,0.001052,0.000453,0.000005,0.000004,0.000007,0.000019,0.000005,0.000012,0.000010,0.000007
